step,tag,value,run
58304,0-Episodic-Stats/episodic_length,37.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
64384,0-Episodic-Stats/episodic_length,37.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
67424,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
70464,0-Episodic-Stats/episodic_length,68.66666412353516,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
73504,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
76544,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
79584,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
82624,0-Episodic-Stats/episodic_length,179.5,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
85664,0-Episodic-Stats/episodic_length,163.6666717529297,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
88704,0-Episodic-Stats/episodic_length,163.6666717529297,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
119648,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
134848,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
140928,0-Episodic-Stats/episodic_length,100.33333587646484,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
143968,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
147008,0-Episodic-Stats/episodic_length,84.5,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
150048,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
153088,0-Episodic-Stats/episodic_length,37.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
156128,0-Episodic-Stats/episodic_length,108.25,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
159168,0-Episodic-Stats/episodic_length,163.6666717529297,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
162208,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
165248,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
168288,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
174368,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
186528,0-Episodic-Stats/episodic_length,322.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
202272,0-Episodic-Stats/episodic_length,37.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
205312,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
214432,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
223552,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
226592,0-Episodic-Stats/episodic_length,227.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
229632,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
232672,0-Episodic-Stats/episodic_length,227.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
235712,0-Episodic-Stats/episodic_length,163.6666717529297,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
238752,0-Episodic-Stats/episodic_length,68.66666412353516,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
241792,0-Episodic-Stats/episodic_length,100.33333587646484,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
244832,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
247872,0-Episodic-Stats/episodic_length,227.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
250912,0-Episodic-Stats/episodic_length,100.33333587646484,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
253952,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
263072,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
266112,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
269152,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
275776,0-Episodic-Stats/episodic_length,37.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
287936,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
294016,0-Episodic-Stats/episodic_length,37.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
297056,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
303136,0-Episodic-Stats/episodic_length,84.5,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
306176,0-Episodic-Stats/episodic_length,100.33333587646484,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
309216,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
312256,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
315296,0-Episodic-Stats/episodic_length,100.33333587646484,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
318336,0-Episodic-Stats/episodic_length,195.3333282470703,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
321376,0-Episodic-Stats/episodic_length,113.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
327456,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
330496,0-Episodic-Stats/episodic_length,37.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
336576,0-Episodic-Stats/episodic_length,227.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
339616,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
342656,0-Episodic-Stats/episodic_length,132.0,Pong1PQFM_XObs_entangled_QLayers_1___seed_7_1760932010
